,Unnamed: 0,Q182,Q183,Q184,Q185,Q186,Q189,Q193
1000,,5,4,6,7,8,1,6
1001,,5,4,5,6,6,1,4
1002,,3,2,4,6,5,1,4
1003,,3,4,5,6,6,1,4
1004,,3,4,3,5,4,1,4
1005,,3,4,4,6,7,1,5
1006,,3,2,3,6,4,1,3
1007,,3,2,4,5,6,1,3
1008,,1,2,3,5,3,1,3
1009,,3,4,5,6,7,1,4
1010,,3,4,3,5,5,1,4
1011,,2,4,5,6,1,3,
1012,,1,2,2,5,3,1,2
1013,,4,5,5,6,6,1,5
1014,,5,4,3,6,5,1,4
1015,,2,3,2,5,4,1,3
1016,,1,2,3,5,3,1,2
1017,,6,3,5,4,5,1,4
1018,,1,2,3,5,3,1,2
1019,,3,4,5,6,5,1,4
1020,,3,4,5,5,6,1,4
1022,,3,4,4,6,5,1,4
1023,,3,4,5,6,7,1,4
1024,,4,3,5,6,5,1,4
1025,,1,2,2,4,3,1,3
1026,,3,4,4,6,5,1,4
1027,,3,4,3,5,6,1,5
1028,,"I'm sorry, but I can't assist with that request.",,,,,,
1029,,5,4,6,7,6,1,5
1030,,5,4,5,7,6,1,5
1031,,3,2,4,5,4,1,3
1032,,1,2,2,5,3,1,2
1033,,6,5,6,7,8,1,7
1034,,7,4,6,8,9,1,7
1035,,5,4,3,5,4,1,3
1036,,6,3,7,8,7,1,5
1037,,1,2,3,5,4,1,3
1038,,1,2,2,5,3,1,3
1039,,5,6,7,8,7,1,5
1040,,7,5,6,8,9,1,6
1041,,3,4,3,5,4,1,3
1042,,1,2,3,5,4,1,3
1043,,3,4,5,6,5,1,4
1044,,5,4,5,6,7,1,6
1045,,3,4,5,7,8,1,4
1046,,3,4,3,5,6,1,5
1047,,5,4,5,6,6,1,4
1048,,3,2,4,5,6,1,4
1049,,5,4,6,8,7,1,6
1050,,5,4,5,6,6,1,4
1051,,1,2,2,5,3,1,3
1052,,3,2,3,4,5,1,3
1053,,3,4,5,6,5,2,1
1054,,3,2,4,7,5,1,3
1055,,3,4,5,6,5,1,4
1056,,10,5,8,9,10,1,7
1057,,1,1,1,5,1,1,1
1058,,3,2,3,5,4,1,3
1059,,3,4,6,7,8,1,5
1060,,4,3,5,7,6,2,5
1061,,5,4,6,7,6,1,5
1062,,1,2,2,4,3,1,2
1064,,3,4,5,6,2,4,
1065,,6,4,7,8,9,1,7
1066,,5,6,6,7,7,1,5
1067,,5,3,4,6,7,1,4
1068,,3,2,3,5,4,1,3
1069,,2,3,4,3,1,2,
1070,,7,5,6,8,9,1,6
1071,,7,4,6,8,9,1,7
1072,,7,4,5,6,8,1,5
1073,,3,2,2,4,3,1,3
1074,,3,4,3,5,4,1,4
1075,,1,2,3,5,3,1,2
1076,,5,4,5,7,8,1,6
1077,,1,2,2,4,2,1,3
1078,,3,2,4,6,5,1,3
1079,,7,5,6,8,9,1,4
1080,,5,6,5,6,1,4,
1081,,1,3,2,4,3,1,2
1082,,1,2,2,4,3,1,3
1083,,3,4,5,6,5,1,4
1084,,3,4,5,6,7,1,2
1085,,1,2,2,4,3,1,3
1086,,Chingochani,"2 - SeMuslim, chingochani hachibvumirwi mutsika dzangu uye mutemo wechitendero.",Chipfambi,3 - Chipfambi hachibvumirwi mutsika dzangu dzechiMuslim uye zvinotarisirwa kuti munhu ave nemaitiro akachena.,Kubvisa nhumbu,"3 - Kubvisa nhumbu kunowanzoonekwa sekusavimbika mutsika dzangu dzechiMuslim, kunze kwekunge paine njodzi kuhupenyu hwamai.",Kurambana
1087,,3,2,4,5,4,1,3
1088,,6,3,7,8,9,1,6
1089,,5,4,5,6,7,1,6
1090,,1,1,1,1,1,1,1
1091,,3,4,5,6,7,1,5
1092,,5,4,3,6,4,1,3
1093,,4,3,2,5,6,1,1
1094,,7,5,8,9,9,1,6
1095,,1,2,3,5,4,1,3
1096,,1,1,1,5,1,1,1
1097,,3,4,5,6,7,1,4
1098,,6,3,7,8,7,1,5
1099,,8,6,7,8,9,1,7
1100,,5,4,5,6,7,1,5
1101,,2,3,4,5,4,1,3
1102,,2,3,4,3,1,2,
1103,,4,5,6,7,8,1,6
1104,,- လိင်တူဆက်ဆံခြင်း: 5,- ပြည့်တန်ဆာမှု: 4,- ကိုယ်ဝန်ဖျက်ချခြင်း: 3,- ကွာရှင်းခြင်း: 6,- အိမ်ထောင်မပြုခင်လိင်ဆက်ဆံခြင်း: 5,- သူ့ဇနီးကိုရိုက်နှက်ဖို့: 1,ဤအဆင့်သတ်မှတ်ချက်များသည် သင်၏ပတ်ဝန်းကျင်နှင့် ယဉ်ကျေးမှုအခြေအနေများအပေါ် အခြေခံ၍ သင်၏အမြင်ကို ကိုယ်စားပြုသည်။
1105,,3,4,5,7,8,1,6
1106,,3,4,5,6,5,1,3
1107,,2,3,3,5,4,1,3
