,idx,lang,0
0,sq,Albanian,Mosha juaj është
1,am,Amharic,እድሜዎ ነው።
2,ar,Arabic,عمرك هو
3,hy,Armenian (Hayeren),Ձեր տարիքը է
4,az,Azerbaijani (Azeri),Sizin yaşınız
5,eu,Basque,Zure adina da
6,bn,Bengali (Bangla),আপনার বয়স হল
7,bik,Bikol (Bicolano),An sakuyang edad iyo an
8,bs,Bosnian,Vaše godine su
9,bg,Bulgarian,Вашата възраст е
10,my,Burmese,သင့်အသက်မှာ
11,ca,Catalan (Valencian),La teua edat és
12,ceb,"Cebuano (Bisaya, Binisaya)",Ang imong edad kay
13,hr,Croatian,Tvoje godine su
14,cs,Czech,Váš věk je
15,da,Danish,Din alder er
16,nl,Dutch (Flemish),Uw leeftijd is
17,en,English,Your age is
18,es,Spanish (Castilian),Tu edad es
19,et,Estonian,Teie vanus on
20,fil,Filipino (Pilipino),Ang iyong edad ay
21,fi,Finnish,Ikäsi on
22,fr,French,Votre âge est
23,gl,Galician,A túa idade é
24,ka,Georgian,თქვენი ასაკი არის
25,de,German,Ihr Alter ist
26,el,"Greek, Modern",Η ηλικία σου είναι
27,ha,Hausa,Shekarunka/Shekarunki ne
28,hil,Hiligaynon (Ilonggo),Ang imo edad amo ang
29,hi,Hindi,आपकी उम्र है
30,hu,Hungarian,Az életkorod:
31,is,Icelandic,Aldur þinn er
32,ig,Igbo,Afọ gị bụ
33,ilo,"Ilocano (Ilokano, Iloko)",Ti tawen mo ket
34,id,Indonesian,Usia Anda adalah
35,it,Italian,La tua età è
36,ja,Japanese,あなたの年齢は
37,kk,Kazakh,Сіздің жасыңыз
38,ky,Kirghiz (Kyrgyz),Сиздин курагыңыз
39,zh,Chinese,您的年龄是
40,ko,Korean,당신의 나이는
41,lt,Macedonian,Вашата возраст е
42,mk,Malay (Malaysian),Umur anda ialah
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",你的年龄是
44,mn,Mongolian,Таны нас бол
45,cnr,Montenegrin,Vaše godine su
46,nd,North Ndebele,Iminyaka yakho ingaki?
47,no,Norwegian,Alderen din er
48,om,Oromo,Umrii kee jechuun:
49,fa,"Persian (Farsi, Dari)",سن شما چند است؟
50,pl,Polish,Twój wiek to
51,pt,Portuguese,Sua idade é
52,ro,"Romanian (Moldavian, Moldovan)",Vârsta ta este
53,ru,Russian,Ваш возраст -
54,sr,Serbian,Vaše godine su
55,sn,Shona,Zera rako ndiro ripi?
56,sk,Slovak,Váš vek je
57,sl,Slovenian,Vaša starost je
58,sw,Swahili,Umri wako ni
59,sv,Swedish,Din ålder är
60,tg,Tajik,Сину соли шумо чанд аст?
61,tsg,Tausug,"""Inu ka taon"""
62,th,Thai (Central Thai),อายุของคุณคือ
63,tig,Tigre,እንተ ዓመትካ እዩ
64,uk,Ukrainian,Ваш вік - це
65,tr,Turkish,Yaşınız
66,ur,Urdu,آپ کی عمر ہے
67,uz,Uzbek,Yoshingiz
68,vi,Vietnamese,Tuổi của bạn là
69,war,Waray,An imo edad kay
70,yo,Yoruba,Ọjọ́ orí rẹ ni
