,idx,lang,0,1,2,3,4,5,6,7,8,9,-1,-5,-2
0,sq,Albanian,Ju nuk i përkisni asnjë besimi fetar.,Besimi juaj fetar është Katolik Romak.,Besimi juaj fetar është protestant.,"Besimi juaj fetar është Ortodoks (Rus, Grek ose tjetër).",Besimi juaj fetar është hebre.,Besimi juaj fetar është mysliman.,Besimi juaj fetar është Hindu.,Besimi juaj fetar është Budist.,"Besimi juaj fetar është tjetër i krishterë (ungjillor, pentekostal, kishë e lirë ose tjetër).",,,,
1,am,Amharic,እርስዎ ለማንኛውም የሃይማኖት ድርጅት አባል አይደለም።,የእምነት ዘርፍዎ ሮማ ካቶሊክ ነው።,የእምነት ዘርፎት ፕሮቴስታንት ነው።,የእምነት ዘርፍዎ ኦርቶዶክስ (የሩሲያ፣ የግሪክ ወይም ሌላ) ነው።,የእምነት ዘርፍዎ አይሁድ ነው።,የእምነት ሃሳብዎ ሙስሊም ነው።,የእምነት ዘርፍዎ ሂንዱ ነው።,የእምነት ዘርፍዎ ቡድሂስት ነው።,"የእምነት ዘርፍዎ ሌላ ክርስቲያን (ወንጌላዊ, ጴንጤኮስጣል, ነጻ ቤተክርስቲያን ወይም ሌላ) ነው።",,,,
2,ar,Arabic,أنت لا تنتمي إلى أي طائفة دينية.,الطائفة الدينية الخاصة بك هي الروم الكاثوليك.,الطائفة الدينية الخاصة بك هي البروتستانتية.,الطائفة الدينية التي تنتمي إليها هي الأرثوذكسية (الروسية، اليونانية أو غيرها).,الديانة التي تتبعها هي اليهودية.,الديانة التي تنتمي إليها هي الإسلام.,الديانة التي تنتمي إليها هي الهندوسية.,الديانة التي تنتمي إليها هي البوذية.,الطائفة الدينية الخاصة بك هي مسيحية أخرى (إنجيلية، خمسينية، كنيسة حرة أو غيرها).,,,,
3,hy,Armenian (Hayeren),Դուք չեք պատկանում որևէ կրոնական դավանանքի։,Ձեր կրոնական դավանանքը Հռոմեական Կաթոլիկ է։,Ձեր կրոնական դավանանքը բողոքական է։,"Ձեր կրոնական դավանանքը ուղղափառ է (ռուսական, հունական կամ այլ):",Ձեր կրոնական դավանանքը հրեա է։,Ձեր կրոնական դավանանքը մահմեդական է։,Ձեր կրոնական դավանանքը հինդու է։,Ձեր կրոնական դավանանքը բուդդայական է։,"Ձեր կրոնական դավանանքը այլ քրիստոնեական է (Ավետարանական, Պենտեկոստալ, Ազատ եկեղեցի կամ այլ):",,,,
4,az,Azerbaijani (Azeri),Siz heç bir dini məzhəbə mənsub deyilsiniz.,Sizin dini məzhəbiniz Roma Katolikdir.,Sizin dini məzhəbiniz Protestantdır.,"Sizin dini məzhəbiniz Pravoslavdır (Rus, Yunan və ya digər).",Sizin dini məzhəbiniz yəhudidir.,Sizin dini məzhəbiniz müsəlmandır.,Sizin dini məzhəbiniz Hindudur.,Sizin dini məzhəbiniz Buddizmdir.,"Sizin dini məzhəbiniz digər xristian (Evanjelik, Pentekostal, Azad kilsə və ya digər) olaraq qeyd olunub.",,,,
5,eu,Basque,Ez zara inolako erlijio-konfesiori atxikitzen.,Zure erlijio-aitorpena erromatar katolikoa da.,Zure erlijio-konfesioa protestantea da.,"Zure erlijio-konfesioa ortodoxoa da (errusiarra, greziarra edo beste bat).",Zure erlijio-konfesioa judua da.,Zure erlijio-aitorpena musulmana da.,Zure erlijio-izenburua hinduista da.,Zure erlijio-aitorpena budista da.,"Zure erlijio-konfesioa beste kristau bat da (ebanjelikoa, pentekostala, doako eliza edo beste).",,,,
6,bn,Bengali (Bangla),আপনি কোনো ধর্মীয় সম্প্রদায়ের অন্তর্ভুক্ত নন।,আপনার ধর্মীয় সম্প্রদায় হল রোমান ক্যাথলিক।,আপনার ধর্মীয় সম্প্রদায় প্রোটেস্ট্যান্ট।,"আপনার ধর্মীয় সম্প্রদায় হল অর্থোডক্স (রাশিয়ান, গ্রীক বা অন্যান্য)।",আপনার ধর্মীয় সম্প্রদায় ইহুদি।,আপনার ধর্মীয় সম্প্রদায় মুসলিম।,আপনার ধর্মীয় সম্প্রদায় হিন্দু।,আপনার ধর্মীয় সম্প্রদায় বৌদ্ধ।,"আপনার ধর্মীয় সম্প্রদায় হল অন্যান্য খ্রিস্টান (ইভানজেলিক্যাল, পেন্টেকোস্টাল, ফ্রি চার্চ বা অন্যান্য)।",,,,
7,bik,Bikol (Bicolano),Dai ka sakop nin ano man na relihiyosong denominasyon.,An sakong relihiyon na denominasyon iyo an Katoliko Romano.,An sakong relihiyon na denominasyon iyo an Protestante.,"An saimong relihiyosong denominasyon iyo an Ortodox (Ruso, Griyego o iba pa).",An sakong relihiyon iyo an Judiyo.,An sakong relihiyon iyo an Islam.,An saimong relihiyon na denominasyon iyo an Hindu.,An saimong relihiyosong denominasyon iyo an Budista.,"An saimong relihiyosong denominasyon iyo an iba pang Kristiyano (Ebanghelikal, Pentecostal, Libre nga simbahan o iba pa).",,,,
8,bs,Bosnian,Vi ne pripadate nijednoj vjerskoj denominaciji.,Vaša vjerska denominacija je rimokatolička.,Vaša vjerska denominacija je protestantska.,"Vaša vjerska denominacija je pravoslavna (ruska, grčka ili druga).",Vaša vjerska denominacija je Jevrej.,Vaša vjerska denominacija je muslimanska.,Vaša vjerska denominacija je hinduizam.,Vaša vjerska denominacija je budistička.,"Vaša vjerska denominacija je drugačija kršćanska (evanđeoska, pentekostalna, slobodna crkva ili druga).",,,,
9,bg,Bulgarian,Вие не принадлежите към никаква религиозна деноминация.,Вашата религиозна деноминация е римокатолическа.,Вашата религиозна деноминация е протестантска.,"Вашето религиозно вероизповедание е православно (руско, гръцко или друго).",Вашата религиозна деноминация е юдеин.,Вашата религиозна принадлежност е мюсюлманска.,Вашата религиозна деноминация е хинду.,Вашата религиозна деноминация е будистка.,"Вашата религиозна деноминация е друга християнска (евангелска, петдесятна, свободна църква или друга).",,,,
