Unnamed: 0,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290,full_promt
0,2018,422,LBN,170,ar,1,27,1,170,6,0,2,1,4,2,3,2,5,-4,إنه عام 2018. عمرك هو 27. أنت رجل. أنت تعيش في لبنان. أعلى مستوى تعليمي حققته هو التعليم الثانوي الأدنى. لديك مستوى دخل متوسط.مجموعة مهنتك هي المبيعات (على سبيل المثال: مدير مبيعات، صاحب متجر، مساعد متجر، وكيل تأمين، مشتري).قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.وضعك الاجتماعي الحالي هو أعزب.عدد الأطفال لديك 0. الديانة التي تنتمي إليها هي الإسلام.Noneأنت تتحدث اللغة العربية في المنزل.
1,2017,32,ARG,1270,es,1,70,3,1270,5,-5,2,1,6,2,3,2,1,32001,"Es 2017. Tu edad es 70. Eres un hombre. Vives en Argentina. El nivel más alto de educación que has alcanzado es la educación secundaria inferior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador cualificado (por ejemplo: capataz, mecánico de motores, impresor, costurera, matricero, electricista).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es viudo/viuda.El número de hijos que tienes -5. Tu denominación religiosa es católica romana.nanHablas español en casa."
2,2022,203,CZE,1040,cs,2,47,2,1040,6,2,2,1,6,2,4,2,0,203003,"Je rok 2022. Váš věk je 47. Jsi žena. Žijete v Česku. Nejvyšší úroveň vzdělání, které jste dosáhli, je nižší střední vzdělání. Máte střední úroveň příjmu.Vaše profesní skupina je kvalifikovaný pracovník (například: mistr, automechanik, tiskař, švadlena, nástrojář, elektrikář).Sektor zaměstnání, ve kterém pracujete, je soukromý podnik nebo průmysl.Klasifikujete se jako příslušník dělnické třídy.Váš současný rodinný stav je svobodný.Počet dětí, které máte 2. Nejste příslušníkem žádné náboženské denominace.. Mluvíte doma česky."
3,2021,862,VEN,1270,es,2,33,2,1270,2,3,3,2,8,2,2,2,1,862001,"Es 2021. Tu edad es 33. Eres una mujer. Vives en Venezuela. El nivel más alto de educación que has alcanzado es la educación secundaria superior. Tienes un nivel de ingresos medio.Tu grupo ocupacional es trabajador no cualificado (por ejemplo: peón, mozo, trabajador no cualificado de fábrica, limpiador).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media alta.Su estado civil actual es convivir como casados.El número de hijos que tienes 3. Tu denominación religiosa es católica romana.nanHablas español en casa."
4,2021,51,ARM,200,hy,2,63,3,200,1,3,3,2,1,-3,4,2,3,51001,"Դա 2021 թվականն է։ Ձեր տարիքը է 63. Դու կին ես։ Դուք ապրում եք Հայաստանում։ Ձեր հասած կրթության ամենաբարձր մակարդակը միջնակարգ կրթությունն է։ Դուք ունեք միջին եկամուտի մակարդակ:Ձեր մասնագիտական խումբը մասնագիտական և տեխնիկական է (օրինակ՝ բժիշկ, ուսուցիչ, ինժեներ, նկարիչ, հաշվապահ, բուժքույր):Դուք չեք կարող ասել ոչինչ ձեր աշխատանքի ոլորտի մասին կամ դուք երբեք աշխատանք չեք ունեցել։Դուք ձեզ դասում եք աշխատավոր դասակարգին պատկանող:Ձեր ներկայիս ամուսնական կարգավիճակը ամուսնացած է։Ձեր ունեցած երեխաների քանակը 3. Ձեր կրոնական դավանանքը ուղղափառ է (ռուսական, հունական կամ այլ):nanԴուք տանը հայերեն եք խոսում։"
5,2019,158,TWN,2870,zh,1,30,2,2870,6,0,7,3,-3,2,4,2,9,158002,这是2019年。 您的年龄是 30. 你是一个男人。 你住在台湾。 您达到的最高学历是硕士或同等学历。 您的收入水平属于中等。nan您工作的就业领域是私营企业或工业。您将自己归类为工人阶级。您的当前婚姻状况是单身。您有多少个孩子 0. nannan你在家说普通话。
6,2018,458,MYS,2810,ms,1,44,2,2810,1,4,2,1,5,2,1,2,5,458004,这是2018年。 你的年龄是 44. 你是一个男人。 你住在马来西亚。 您达到的最高教育水平是初中教育。 你的收入水平属于中等。您的职业类别是服务业（例如：餐馆老板、警察、服务员、理发师、看护人员）。您工作的就业领域是私营企业或工业。您将自己归类为上层阶级。您的当前婚姻状况是已婚。您有多少个孩子 4. 您的宗教信仰是伊斯兰教。nan你在家说马来语。
7,2017,840,USA,1240,en,2,52,3,1240,3,1,3,2,-3,2,4,2,0,840001,"It is 2017. Your age is 52. You are a woman. You live in United States. The highest level of education you have achieved is upper secondary education You have a medium income level.nanSector of employment you work in is private business or industry.You classify yourself as belonging to working class.Your current marital status is divorced.The number of children you have 1. You do not belong to any religious denomination.Your racial belonging/ethnic group is White, non-Hispanic.You speak English language at home."
8,2022,203,CZE,1040,cs,2,73,3,1040,5,2,2,1,4,1,4,2,0,203003,"Je rok 2022. Váš věk je 73. Jsi žena. Žijete v Česku. Nejvyšší úroveň vzdělání, které jste dosáhli, je nižší střední vzdělání. Máte střední úroveň příjmu.Vaše pracovní skupina je prodej (například: obchodní manažer, majitel obchodu, prodavač, pojišťovací agent, nákupčí).Sektor zaměstnání, ve kterém pracujete, je vláda nebo veřejná instituce.Klasifikujete se jako příslušník dělnické třídy.Váš současný rodinný stav je ovdovělý.Počet dětí, které máte 2. Nejste příslušníkem žádné náboženské denominace.. Mluvíte doma česky."
9,2020,320,GTM,1270,es,1,54,3,1270,1,3,6,3,1,2,3,2,1,320003,"Es 2020. Tu edad es 54. Eres un hombre. Vives en Guatemala. El nivel más alto de educación que ha alcanzado es licenciatura o equivalente. Tienes un nivel de ingresos medio.Tu grupo ocupacional es profesional y técnico (por ejemplo: médico, profesor, ingeniero, artista, contador, enfermero).El sector de empleo en el que trabajas es el negocio o la industria privada.Te clasificas como perteneciente a la clase media baja.Su estado civil actual es casado.El número de hijos que tienes 3. Tu denominación religiosa es católica romana.nanHablas español en casa."
