,idx,lang,1,2,-2,-4,-5
0,sq,Albanian,Ti je një burrë.,Ti je një grua.,,,
1,am,Amharic,አንተ ወንድ ነህ።,አንቺ ሴት ነሽ።,,,
2,ar,Arabic,أنت رجل.,أنتِ امرأة.,,,
3,hy,Armenian (Hayeren),Դու տղամարդ ես։,Դու կին ես։,,,
4,az,Azerbaijani (Azeri),Sən kişisən.,Sən qadınsan.,,,
5,eu,Basque,Gizon bat zara.,Emakume bat zara.,,,
6,bn,Bengali (Bangla),তুমি একজন পুরুষ।,তুমি একজন নারী।,,,
7,bik,Bikol (Bicolano),Ika sarong lalaki.,Ika sarong babaye.,,,
8,bs,Bosnian,Ti si muškarac.,Ti si žena.,,,
9,bg,Bulgarian,Ти си мъж.,Ти си жена.,,,
10,my,Burmese,သင်သည် ယောကျာ်းလေးတစ်ဦး ဖြစ်ပါသည်။,သင်သည် အမျိုးသမီးတစ်ဦး ဖြစ်သည်။,,,
11,ca,Catalan (Valencian),Ets un home.,Ets una dona.,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Ikaw usa ka lalaki.,Ikaw usa ka babaye.,,,
13,hr,Croatian,Ti si muškarac.,Ti si žena.,,,
14,cs,Czech,Jsi muž.,Jsi žena.,,,
15,da,Danish,Du er en mand.,Du er en kvinde.,,,
16,nl,Dutch (Flemish),Jij bent een man.,Jij bent een vrouw.,,,
17,en,English,You are a man.,You are a woman.,,,
18,es,Spanish (Castilian),Eres un hombre.,Eres una mujer.,,,
19,et,Estonian,Sa oled mees.,Sa oled naine.,,,
20,fil,Filipino (Pilipino),Ikaw ay isang lalaki.,Ikaw ay isang babae.,,,
21,fi,Finnish,Olet mies.,Olet nainen.,,,
22,fr,French,Vous êtes un homme.,Vous êtes une femme.,,,
23,gl,Galician,Es un home.,Es unha muller.,,,
24,ka,Georgian,თქვენ კაცი ხართ.,თქვენ ქალი ხართ.,,,
25,de,German,Du bist ein Mann.,Du bist eine Frau.,,,
26,el,"Greek, Modern",Είσαι άντρας.,Είσαι γυναίκα.,,,
27,ha,Hausa,Kai namiji ne.,Ke mace ce.,,,
28,hil,Hiligaynon (Ilonggo),Ikaw isa ka lalaki.,Ikaw isa ka babaye.,,,
29,hi,Hindi,आप एक आदमी हैं।,आप एक महिला हैं।,,,
30,hu,Hungarian,Te egy férfi vagy.,Te egy nő vagy.,,,
31,is,Icelandic,Þú ert maður.,Þú ert kona.,,,
32,ig,Igbo,Ị bụ nwoke.,Ị bụ nwanyị.,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Sika ket lalaki.,Sika ket babai.,,,
34,id,Indonesian,Anda adalah seorang pria.,Anda adalah seorang wanita.,,,
35,it,Italian,Sei un uomo.,Sei una donna.,,,
36,ja,Japanese,あなたは男性です。,あなたは女性です。,,,
37,kk,Kazakh,Сіз ер адамсыз.,Сіз әйелсіз.,,,
38,ky,Kirghiz (Kyrgyz),Сиз эркексиз.,Сиз аялсыз.,,,
39,zh,Chinese,你是一个男人。,你是一个女人。,,,
40,ko,Korean,당신은 남자입니다.,당신은 여자입니다.,,,
41,lt,Macedonian,Ти си маж.,Ти си жена.,,,
42,mk,Malay (Malaysian),Anda seorang lelaki.,Anda seorang wanita.,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",你是一个男人。,你是一个女人。,,,
44,mn,Mongolian,Та эрэгтэй хүн.,Та эмэгтэй хүн.,,,
45,cnr,Montenegrin,Ti si muškarac.,Ti si žena.,,,
46,nd,North Ndebele,Wena uyindoda.,Ungumfazi.,,,
47,no,Norwegian,Du er en mann.,Du er en kvinne.,,,
48,om,Oromo,Ati dhiira.,Ati dubartii dha.,,,
49,fa,"Persian (Farsi, Dari)",شما یک مرد هستید.,شما یک زن هستید.,,,
50,pl,Polish,Jesteś mężczyzną.,Jesteś kobietą.,,,
51,pt,Portuguese,Você é um homem.,Você é uma mulher.,,,
52,ro,"Romanian (Moldavian, Moldovan)",Ești bărbat.,Ești o femeie.,,,
53,ru,Russian,Вы мужчина.,Вы женщина.,,,
54,sr,Serbian,Ti si muškarac.,Ti si žena.,,,
55,sn,Shona,Iwe murume.,Iwe uri mukadzi.,,,
56,sk,Slovak,Si muž.,Si žena.,,,
57,sl,Slovenian,Ti si moški.,Ti si ženska.,,,
58,sw,Swahili,Wewe ni mwanamume.,Wewe ni mwanamke.,,,
59,sv,Swedish,Du är en man.,Du är en kvinna.,,,
60,tg,Tajik,Шумо мард ҳастед.,Шумо зан ҳастед.,,,
61,tsg,Tausug,Kaw lalaki.,Kaw babai.,,,
62,th,Thai (Central Thai),คุณเป็นผู้ชาย,คุณเป็นผู้หญิง,,,
63,tig,Tigre,ንስኻ ሰብኣይ ኢኻ።,ንሰብኣይ ኢኺ።,,,
64,uk,Ukrainian,Ви чоловік.,Ви жінка.,,,
65,tr,Turkish,Sen bir adamsın.,Bir kadınsın.,,,
66,ur,Urdu,آپ ایک آدمی ہیں۔,آپ ایک عورت ہیں۔,,,
67,uz,Uzbek,Siz erkaksiz.,Siz ayolsiz.,,,
68,vi,Vietnamese,Bạn là một người đàn ông.,Bạn là một người phụ nữ.,,,
69,war,Waray,Ikaw usa nga lalaki.,Ikaw usa nga babaye.,,,
70,yo,Yoruba,Ìwọ jẹ ọkùnrin.,Ìwọ jẹ obìnrin.,,,
