,idx,lang,0,1,2,3,4,5,6,7,8,-1,-5,-2
0,sq,Albanian,Niveli më i lartë i arsimit që keni arritur është arsimi i hershëm i fëmijërisë / pa arsim.,Niveli më i lartë i arsimit që keni arritur është arsimi fillor.,Niveli më i lartë i arsimit që keni arritur është arsimi i mesëm i ulët.,Niveli më i lartë i arsimit që keni arritur është arsimi i mesëm i lartë.,Niveli më i lartë i arsimit që keni arritur është arsimi pas-sekondar jo-terciar.,Niveli më i lartë i arsimit që keni arritur është arsimi terciar me cikël të shkurtër.,Niveli më i lartë i arsimit që keni arritur është bachelor ose ekuivalent.,Niveli më i lartë i arsimit që keni arritur është master ose ekuivalent.,Niveli më i lartë i arsimit që keni arritur është doktoraturë ose ekuivalent.,,,
1,am,Amharic,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ የሕፃናት ትምህርት / ምንም ትምህርት አይደለም።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ የመጀመሪያ ደረጃ ትምህርት ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ ዝቅተኛ ሁለተኛ ደረጃ ትምህርት ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ የላይኛ ሁለተኛ ደረጃ ትምህርት ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ የከፍተኛ ትምህርት በላይ ያልደረሰ የከፍተኛ ትምህርት ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ አጭር ሂደት ያለው የከፍተኛ ትምህርት ትምህርት ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ የባችለር ወይም እኩል ደረጃ ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ ማስተር ወይም እኩል ደረጃ ነው።,እርስዎ ያገኙት ከፍተኛ የትምህርት ደረጃ ዶክቶሬት ወይም እኩል ደረጃ ነው።,,,
2,ar,Arabic,أعلى مستوى تعليمي حققته هو تعليم الطفولة المبكرة / لا يوجد تعليم.,أعلى مستوى تعليمي حققته هو التعليم الابتدائي.,أعلى مستوى تعليمي حققته هو التعليم الثانوي الأدنى.,أعلى مستوى تعليمي حققته هو التعليم الثانوي العالي.,أعلى مستوى تعليمي حققته هو التعليم بعد الثانوي غير الجامعي.,أعلى مستوى تعليمي حققته هو التعليم العالي قصير الدورة.,أعلى مستوى تعليمي حققته هو البكالوريوس أو ما يعادله.,أعلى مستوى تعليمي وصلت إليه هو الماجستير أو ما يعادله.,أعلى مستوى تعليمي حققته هو الدكتوراه أو ما يعادلها.,,,
3,hy,Armenian (Hayeren),Ձեր ստացած կրթության ամենաբարձր մակարդակը վաղ մանկության կրթությունն է / կրթություն չունեք։,Ձեր հասած կրթության ամենաբարձր մակարդակը հիմնական կրթությունն է։,Ձեր ստացած կրթության ամենաբարձր մակարդակը միջին դպրոցական կրթությունն է։,Ձեր հասած կրթության ամենաբարձր մակարդակը միջնակարգ կրթությունն է։,Ձեր ստացած կրթության ամենաբարձր մակարդակը երկրորդականից հետո ոչ բարձրագույն կրթությունն է:,Ձեր ստացած կրթության ամենաբարձր մակարդակը կարճ ցիկլի բարձրագույն կրթությունն է:,Ձեր ստացած կրթության ամենաբարձր մակարդակը բակալավրի կամ համարժեք է:,Ձեր ստացած կրթության ամենաբարձր մակարդակը մագիստրոս կամ համարժեքն է:,Ձեր ստացած կրթության ամենաբարձր մակարդակը դոկտորական կամ համարժեքն է:,,,
4,az,Azerbaijani (Azeri),Əldə etdiyiniz ən yüksək təhsil səviyyəsi erkən uşaqlıq təhsili / təhsil almamışdır.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi ibtidai təhsildir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi orta təhsildən aşağıdır.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi orta təhsildir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi orta təhsildən sonrakı qeyri-ali təhsildir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi qısa dövrlü ali təhsildir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi bakalavr və ya ona bərabərdir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi magistr və ya ona bərabərdir.,Əldə etdiyiniz ən yüksək təhsil səviyyəsi doktorantura və ya ona bərabərdir.,,,
5,eu,Basque,Lortu duzun hezkuntza mailarik altuena haurtzaro hezkuntza / hezkuntzarik gabe da.,Lortu duzun hezkuntza mailarik altuena oinarrizko hezkuntza da.,Lortu duzun hezkuntza-mailarik altuena bigarren hezkuntza baxua da.,Lortu duzun hezkuntza-mailarik altuena bigarren hezkuntza da.,Lortu duzun hezkuntza mailarik altuena bigarren mailako ondorengo hezkuntza ez-tertziarioa da.,Lortu duzun hezkuntza-mailarik altuena goi-mailako hezkuntza ziklo laburra da.,Lortu duzun hezkuntza-mailarik altuena lizentziatura edo baliokidea da.,Lortu duzun hezkuntza mailarik altuena masterra edo baliokidea da.,Lortu duzun hezkuntza-mailarik altuena doktoregoa edo baliokidea da.,,,
6,bn,Bengali (Bangla),আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল প্রাথমিক শৈশব শিক্ষা / কোনো শিক্ষা নয়।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল প্রাথমিক শিক্ষা।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হলো নিম্ন মাধ্যমিক শিক্ষা।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল উচ্চ মাধ্যমিক শিক্ষা।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল মাধ্যমিকোত্তর অ-তৃতীয় স্তরের শিক্ষা।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হলো স্বল্প-মেয়াদী তৃতীয় স্তরের শিক্ষা।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হলো স্নাতক বা সমমান।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হলো মাস্টার্স বা সমমানের।,আপনি যে সর্বোচ্চ স্তরের শিক্ষা অর্জন করেছেন তা হল ডক্টরাল বা সমমানের।,,,
7,bik,Bikol (Bicolano),An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an edukasyon sa kabataan / bako nin edukasyon.,An pinaka-alta na lebel nin edukasyon na naabot mo iyo an elementarya.,An pinaka-mataas na lebel nin edukasyon na naabot mo iyo an lower secondary education.,An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an hoben sekundarya na edukasyon.,An pinaka-mataas na lebel nin edukasyon na naabot mo iyo an post-secondary non-tertiary education.,An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an short-cycle tertiary education.,An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an bachelor's o katumbas.,An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an master o katumbas.,An pinaka-hitaas na lebel nin edukasyon na naabot mo iyo an doctoral o katumbas.,,,
8,bs,Bosnian,Najviši nivo obrazovanja koji ste postigli je rano obrazovanje djece / bez obrazovanja.,Najviši nivo obrazovanja koji ste postigli je osnovno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je niže srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je srednje obrazovanje.,Najviši nivo obrazovanja koji ste postigli je postsekundarno neterciarno obrazovanje.,Najviši nivo obrazovanja koji ste postigli je tercijarno obrazovanje kratkog ciklusa.,Najviši nivo obrazovanja koji ste postigli je bachelor ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je magistar ili ekvivalent.,Najviši nivo obrazovanja koji ste postigli je doktorski ili ekvivalentan.,,,
9,bg,Bulgarian,"Най-високото ниво на образование, което сте постигнали, е ранно детско образование / без образование.","Най-високото ниво на образование, което сте постигнали, е начално образование.","Най-високото ниво на образование, което сте постигнали, е основно образование.","Най-високото ниво на образование, което сте постигнали, е средно образование.","Най-високото ниво на образование, което сте постигнали, е след средно, но не висше образование.","Най-високото ниво на образование, което сте постигнали, е краткосрочно висше образование.","Най-високото ниво на образование, което сте постигнали, е бакалавър или еквивалент.","Най-високото ниво на образование, което сте постигнали, е магистър или еквивалентно.","Най-високото ниво на образование, което сте постигнали, е докторска степен или еквивалент.",,,
