,idx,lang,1,2,3,4,5,-1,-5,-4,-2
0,sq,Albanian,Ju e klasifikoni veten si pjesë e klasës së lartë.,Ju e klasifikoni veten si pjesë e klasës së mesme të lartë.,Ju e klasifikoni veten si pjesë e klasës së mesme të ulët.,Ju e klasifikoni veten si pjesë e klasës punëtore.,Ju e klasifikoni veten si pjesë e klasës së ulët.,,,,
1,am,Amharic,እራስዎን ወደ ከፍተኛ ክፍል እንደምትገኙ ትመዝገባላችሁ።,እራስዎን ወደ ከፍተኛ መካከለኛ ክፍል እንደምትመለከቱ ይወስናሉ።,እራስዎን ወደ ዝቅተኛ መካከለኛ ክፍል እንደምትመደብ ትመስላለህ።,እራስዎን እንደ ሥራ መስክ ክፍል እንደምትመለከቱ ታወራሉ።,እራስዎን እንደ ዝቅተኛ ክፍል እንደምትመዝግቡ ታስባላችሁ።,,,,
2,ar,Arabic,تصنف نفسك على أنك تنتمي إلى الطبقة العليا.,تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى العليا.,تصنف نفسك على أنك تنتمي إلى الطبقة الوسطى الدنيا.,تصنف نفسك على أنك تنتمي إلى الطبقة العاملة.,تصنف نفسك على أنك تنتمي إلى الطبقة الدنيا.,,,,
3,hy,Armenian (Hayeren),Դուք ձեզ դասում եք վերին խավին պատկանող։,Դուք ձեզ դասում եք վերին միջին խավին պատկանող։,Դուք ձեզ դասում եք ստորին միջին խավին պատկանող։,Դուք ձեզ դասում եք աշխատավոր դասակարգին պատկանող:,Դուք ձեզ դասում եք ստորին խավին պատկանող:,,,,
4,az,Azerbaijani (Azeri),Özünüzü yuxarı sinifə aid edirsiniz.,Özünüzü yuxarı orta təbəqəyə aid edirsiniz.,Özünüzü aşağı orta təbəqəyə aid edirsiniz.,Özünüzü işçi sinfinə aid edirsiniz.,Özünüzü aşağı təbəqəyə aid edirsiniz.,,,,
5,eu,Basque,Zure burua goi mailakoa bezala sailkatzen duzu.,Zure burua goi-mailako klase ertainari dagokiola sailkatzen duzu.,Zure burua beheko klase ertainari dagokiola sailkatzen duzu.,Zure burua langile klasekoa zarela sailkatzen duzu.,Zure burua beheko klasekoa zarela sailkatzen duzu.,,,,
6,bn,Bengali (Bangla),আপনি নিজেকে উচ্চবিত্ত শ্রেণীর অন্তর্ভুক্ত হিসেবে বিবেচনা করেন।,আপনি নিজেকে উচ্চ মধ্যবিত্ত শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।,আপনি নিজেকে নিম্ন মধ্যবিত্ত শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।,আপনি নিজেকে শ্রমজীবী শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।,আপনি নিজেকে নিম্নবিত্ত শ্রেণীর অন্তর্ভুক্ত হিসেবে শ্রেণীবদ্ধ করেন।,,,,
7,bik,Bikol (Bicolano),Iklasipikar mo an sadiri mo bilang kaiba sa hoben na klase.,Ikaw nagkaklasipikar sa sadiri mo bilang kaiba sa hoven na klase.,Iklasipikar mo an sadiri mo bilang kaapi sa lower middle class.,Iklasipikar mo an sadiri mo bilang kaiba sa working class.,Iklasipikar mo an sadiri mo bilang kaiba sa mga tawo sa ubos na klase.,,,,
8,bs,Bosnian,Smatrate se pripadnikom više klase.,Smatrate se pripadnikom više srednje klase.,Vi se svrstavate u nižu srednju klasu.,Smatrate se pripadnikom radničke klase.,Vi sebe svrstavate u nižu klasu.,,,,
9,bg,Bulgarian,Класифицирате себе си като принадлежащи към висшата класа.,Класифицирате се като принадлежащ към горната средна класа.,Класифицирате се като принадлежащ към нисшата средна класа.,Класифицирате себе си като принадлежащ към работническата класа.,Класифицирате себе си като принадлежащ към по-ниска класа.,,,,
