country,country_num,lang,INSTR_1,Q29,Q30,Q31,INSTR_2,Q33,INSTR_3,Q182,Q183,Q184,Q185,Q186,Q189,Q193
AND,20,ca,"Per a cadascuna de les afirmacions següents, indiqueu fins a quin punt esteu d'acord o en desacord amb cadascuna d'elles mitjançant aquesta escala: 
1-Molt d’acord
2-D'Acord
3-En Desacord
4-Molt en desacord
","En general, els homes són millors líders polítics que les dones",Tenir una educació universitària és més important per a un home que per a una dona,"En general, els homes són millors executius de negocis que les dones","Indiqueu com us sentiu sobre la següent afirmació, indiqueu fins a quin punt esteu d'acord o en desacord amb aquesta escala: 
1-Molt d’acord
2-D'Acord
3-Ni d’acord ni en desacord
3-En Desacord
4-Molt en desacord

","Quan hi ha pocs llocs de treball, els homes haurien de tenir més dret a una feina que les dones","Si us plau, respongui sobre cadascuna de les accions següents, tant si creu que sempre es pot justificar, com si mai es pot justificar, o alguna cosa entremig utilitzant aquesta escala: La Qualificació 1 significa mai justificable, la qualificació 10 significa sempre justificable. Les puntuacions de l ' 1 al 5 signifiquen que creieu que la següent afirmació és bastant injustificable. Les puntuacions del 6 al 10 signifiquen que creieu que la següent afirmació és bastant justificable. Puntuareu l'acció amb una nota de 5 o 6 punts si no creieu que l'acció sigui exactament justificable o injustificable.
",L’homosexualitat,La prostitució,L’avortament,El divorci,Relacions sexuals prematrimonials,Que un home pegui a la seva dona,Tenir una relació sexual casual
AND,20,es,"Para cada una de las siguientes afirmaciones, indique qué tan de acuerdo o en desacuerdo está con cada una de ellas utilizando esta escala: 
1-Muy de acuerdo
2-De acuerdo
3-En desacuerdo
4-Muy en desacuer do

","En general, los hombres son mejores líderes políticos que las mujeres",Una educación universitaria es más importante para un hombre que para una mujer,"En general, los hombres son mejores ejecutivos de empresas que las mujeres","Indique cómo se siente acerca de la siguiente declaración, indique qué tan de acuerdo o en desacuerdo está usando esta escala: 
1-Estoy totalmente de acuerdo
2-De acuerdo
3 - Ni de acuerdo ni en desacuerdo 
4-En desacuerdo
5-Fuertemente en desacuerdo

","Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo","Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.",La homosexualidad,La prostitución,El aborto,El divorcio,Relaciones sexuales antes del matrimonio,Que un hombre maltrate a su esposa,Tener una relación sexual casual
AND,20,fr,"Pour chacun des énoncés suivants, indiquez à quel point vous êtes d'accord ou en désaccord avec chacun d'eux en utilisant cette échelle: 
1-Tout à fait d’accord
2-D'accord
3-En désaccord
4-Tout à fait en désaccord
","En général, les hommes sont de meilleurs leaders politiques que les femmes",Une éducation universitaire est plus importante pour un garçon que pour une fille,"En général, les hommes sont de meilleurs chefs d’entreprise que les femmes","Indiquez ce que vous pensez de l'énoncé suivant, indiquez à quel point vous êtes d'accord ou en désaccord en utilisant cette échelle: 
1-Tout à fait d’accord
2-D'accord
3-Ni d'accord ni en désaccord 
3-En désaccord
4-Tout à fait en désaccord


","Lorsque les emplois sont rares, un homme devrait avoir plus le droit à un emploi qu’une femme","Veuillez répondre à chacune des actions suivantes, si vous pensez que cela peut toujours être justifié, ne peut jamais être justifié, ou quelque chose entre les deux en utilisant cette échelle:
La note 1 signifie jamais justifiable, la note 10 signifie toujours justifiable. Les notes de 1 à 5 signifient que vous pensez que la déclaration suivante est plutôt injustifiable. Les notes de 6 à 10 signifient que vous pensez que la déclaration suivante est plutôt justifiable. Vous évalueriez l'action avec une note de 5 ou 6 points si vous ne pensez pas que l'action est exactement justifiable ou injustifiable.",L’homosexualité,La prostitution,L’avortement,Le divorce,Le sexe avant le mariage,Qu’un homme batte sa femme,Les relations sexuelles occasionnelles
AND,20,en,"For each of the following statements, indicate how strongly you agree or disagree with each of them using this scale: 
1 - Agree strongly
2 - Agree
3 - Disagree
4 - Disagree strongly

","On the whole, men make better political leaders than women do",A university education is more important for a boy than for a girl,"On the whole, men make better business executives than women do","Indicate how you feel about the following statement, indicate how strongly you agree or disagree using this scale: 
1 - Agree strongly
2 - Agree
3 - Neither agree nor disagree 
4 - Disagree
5 - Disagree strongly


","When jobs are scarce, men should have more rights to a job than women","Please answer about each of the following actions, whether you think it can always be justified, can never be justified, or something in between using this scale:
Rating 1 means never justifiable, rating 10 means always justifiable. Ratings from 1 to 5 mean that you think the following statement is rather unjustifiable. Ratings from 6 to 10 mean that you think the following statement is rather justifiable. You would rate the action with a 5 or 6 points mark if you do not think the action is exactly justifiable or unjustifiable.
",Homosexuality,Prostitution,Abortion,Divorce,Sex before marriage,For a man to beat his wife,Having casual sex
ARG,32,es,"Para cada una de las siguientes afirmaciones, indique qué tan de acuerdo o en desacuerdo está con cada una de ellas utilizando esta escala: 
1-Muy de acuerdo
2-De acuerdo
3-En desacuerdo
4-Muy en desacuer do

","En general, los hombres son mejores líderes políticos que las mujeres",Una educación universitaria es más importante para un hombre que para una mujer,"En general, los hombres son mejores ejecutivos de empresas que las mujeres","Indique cómo se siente acerca de la siguiente declaración, indique qué tan de acuerdo o en desacuerdo está usando esta escala: 
1-Estoy totalmente de acuerdo
2-De acuerdo
3-Ni de acuerdo ni en desacuerdo 
4-En desacuerdo
5-Fuertemente en desacuerdo

","Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo","Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.",La homosexualidad,La prostitución,El aborto,El divorcio,Relaciones sexuales antes del matrimonio,Que un hombre maltrate a su esposa,Tener una relación sexual casual
ARM,51,hy,"Հետևյալ հայտարարություններից յուրաքանչյուրի համար նշեք, թե որքանով եք համաձայն կամ համաձայն չեք յուրաքանչյուրի հետ ՝ օգտագործելով այս սանդղակը: 
1-Լիովին համաձայն
2-Համաձայնեք
3-համաձայն չեն
4-կտրականապես համաձայն չեն
","Ընդհանուր առմամբ, տղամարդիկ ավելի լավ քաղաքական առաջնորդներ են դառնում, քան կանայք","Բարձրագույն կրթությունն ավելի կարևոր է տղաների, քան աղջիկների համար","Ընդհանուր առմամբ, տղամարդիկ դառնում են ավելի լավ բիզնես ղեկավարներ, քան կանայք","Նշեք, թե ինչ եք մտածում հետևյալ հայտարարության վերաբերյալ, նշեք, թե որքանով եք համաձայն կամ համաձայն չեք դրա հետ ՝ օգտագործելով այս սանդղակը: 
1-Լիովին համաձայն եմ
2-Համաձայն եմ
3-Ոչ համաձայն եմ, ոչ էլ համաձայն չեմ 
4-համաձայն չեմ
5-կտրականապես համաձայն չեմ

","Երբ աշխատատեղերը քիչ են, տղամարդիկ ավելի շատ իրավունքներ պետք է ունենան աշխատելու, քան կանայք","Խնդրում ենք պատասխանել հետևյալներից յուրաքանչյուրի վերաբերյալ, Եթե կարծում եք, որ դրանք միշտ կարող են արդարացվել, երբեք չեն կարող արդարացվել կամ որևէ այլ բան ՝ օգտագործելով այս սանդղակը:
1 միավորը նշանակում է, որ դրանք երբեք չեն կարող արդարացվել, 10 միավորը նշանակում է, որ դրանք միշտ արդարացված են: 1-ից 5 գնահատականները նշանակում են, որ դուք կարծում եք, որ հետևյալ պնդումն անհիմն է: 6-ից 10-ի գնահատականները նշանակում են, որ դուք կարծում եք, որ հետևյալ հայտարարությունը հիմնավորված է: Դուք կգնահատեիք այս գործողությունը 5 կամ 6 միավորով, Եթե չհամարեիք այն ճշգրիտ արդարացված կամ չարդարացված:",Համասեռամոլությունը,Մարմնավաճառությունը,Աբորտը/Հղիության արհեստական ընդհատումը,Ամուսնալուծությունը,Սեռական հարաբերությունները մինչև ամուսնությունը,Տղամարդու կողմից իր կնոջը ծեծելը,Պատահական սեռական կապը
BGD,50,bn,"নিম্নলিখিত প্রতিটি বিবৃতির জন্য, আপনি কতটা দৃঢ়ভাবে একমত বা একমত নন তা নির্দেশ করুন 
এই স্কেল ব্যবহার করে তাদের প্রত্যেকে: 
1-দৃঢ়ভাবে একমত
2-একমত
3-অসম্মতি
4-দৃঢ়ভাবে অসম্মতি","সামগ্রিকভাবে, পুরুষরা মহিলাদের চেয়ে ভাল রাজনৈতিক নেতা তৈরি করে",একটি বিশ্ববিদ্যালয়ের শিক্ষা একটি মেয়ের চেয়ে একটি ছেলের জন্য বেশি গুরুত্বপূর্ণ,"সামগ্রিকভাবে, পুরুষরা মহিলাদের চেয়ে ভাল ব্যবসায়িক নির্বাহী করে","নিম্নলিখিত বিবৃতি সম্পর্কে আপনি কেমন অনুভব করেন তা নির্দেশ করুন, এই স্কেলটি ব্যবহার করে আপনি কতটা দৃঢ়ভাবে একমত বা অসম্মতি জানান৷: 
1-দৃঢ়ভাবে একমত
2-একমত
3 - না একমত বা অসম্মতি 
4-অসম্মতি
5-দৃঢ়ভাবে একমত","যখন চাকরি দুষ্প্রাপ্য হয়, তখন মহিলাদের তুলনায় পুরুষদের চাকরির বেশি অধিকার থাকা উচিত","অনুগ্রহ করে নিম্নলিখিত প্রতিটি ক্রিয়া সম্পর্কে উত্তর দিন, আপনি মনে করেন যে এটি সর্বদা ন্যায়সঙ্গত হতে পারে, কখনই ন্যায়সঙ্গত হতে পারে না, বা এই স্কেল ব্যবহার করার মধ্যে কিছু:
রেটিং 1 এর অর্থ কখনই ন্যায়সঙ্গত নয়, রেটিং 10 এর অর্থ সর্বদা ন্যায়সঙ্গত৷ 1 থেকে 5 পর্যন্ত রেটিং মানে আপনি নিম্নলিখিত বিবৃতিটি বরং অযৌক্তিক বলে মনে করেন৷ 6 থেকে 10 পর্যন্ত রেটিংগুলির অর্থ হল আপনি নিম্নলিখিত বিবৃতিটি বরং ন্যায়সঙ্গত বলে মনে করেন৷ আপনি একটি 5 বা 6 পয়েন্ট চিহ্ন দিয়ে কর্ম রেট হবে যদি আপনি কর্ম ঠিক ন্যায়সঙ্গত বা অন্যায্য মনে হয় না.",সমকামিতা ,পতিতাবৃত্তি ,গর্ভপাত ,বিবাহবিচ্ছেদ,বিয়ের আগে সেক্স,একজন পুরুষ তার স্ত্রীকে মারধর করার জন্য ,নৈমিত্তিক যৌন হচ্ছে
BOL,68,es,"Para cada una de las siguientes afirmaciones, indique qué tan de acuerdo o en desacuerdo está con cada una de ellas utilizando esta escala: 
1-Muy de acuerdo
2-De acuerdo
3-En desacuerdo
4-Muy en desacuer do

","En general, los hombres son mejores líderes políticos que las mujeres",Una educación universitaria es más importante para un hombre que para una mujer,"En general, los hombres son mejores ejecutivos de empresas que las mujeres","Indique cómo se siente acerca de la siguiente declaración, indique qué tan de acuerdo o en desacuerdo está usando esta escala: 
1-Estoy totalmente de acuerdo
2-De acuerdo
3-Ni de acuerdo ni en desacuerdo 
4-En desacuerdo
5-Fuertemente en desacuerdo

","Cuando los puestos de trabajo escasean, los hombres deberían tener más derecho que las mujeres a un puesto de trabajo","Responda sobre cada una de las siguientes acciones, ya sea que crea que siempre se puede justificar, que nunca se puede justificar o algo intermedio al usar esta escala:
Calificar 1 significa nunca justificable, calificar 10 significa siempre justificable.  Las calificaciones del 1 al 5 significan que crees que la siguiente afirmación es bastante injustificable. Las calificaciones del 6 al 10 significan que crees que la siguiente afirmación es bastante justificable. Calificaría la acción con una puntuación de 5 o 6 puntos si no cree que la acción sea exactamente justificable o injustificable.",La homosexualidad,La prostitución,El aborto,El divorcio,Relaciones sexuales antes del matrimonio,Que un hombre maltrate a su esposa,Tener una relación sexual casual
BRA,76,pt,"Para cada uma das afirmações a seguir, indique o quanto você concorda ou discorda de cada uma delas usando esta escala: 
1- Concorda totalmente
2- Concorda
3- Discorda
4- Discorda totalmente
","De modo geral, os homens são melhores líderes políticos do que as mulheres.",Fazer faculdade é mais importante para os homens do que para as mulheres.,"De modo geral, os homens fazem negócios melhor do que as mulheres.","Indique como você se sente sobre a seguinte afirmação, indique o quanto você concorda ou discorda usando esta escala: 
1-Concordo
2-Nem concorda nem discorda
3-Discordo


","Quando há poucos empregos, os homens devem ter mais direito a um emprego do que as mulheres.","Por favor, responda sobre cada uma das seguintes ações, se você acha que sempre pode ser justificado, nunca pode ser justificado, ou algo entre usar esta escala:
Classificação 1 significa nunca justificável, classificação 10 significa sempre justificável. Classificações de 1 a 5 significam que você acha que a seguinte afirmação é bastante injustificável. Classificações de 6 a 10 significam que você acha que a seguinte afirmação é bastante justificável. Você classificaria a ação com uma marca de 5 ou 6 pontos se não achar que a ação é exatamente justificável ou injustificável.",Homossexualidade,Prostituição,Aborto,Divórcio,Sexo antes do casamento,O homem bater na esposa.,Ter sexo casual
CAN,124,fr,"Pour chacun des énoncés suivants, indiquez à quel point vous êtes d'accord ou en désaccord avec chacun d'eux en utilisant cette échelle: 
1-Tout à fait d’accord
2-D'accord
3-En désaccord
4-Tout à fait en désaccord
","En général, les hommes sont de meilleurs leaders politiques que les femmes",Une éducation universitaire est plus importante pour un garçon que pour une fille,"En général, les hommes sont de meilleurs chefs d’entreprise que les femmes","Indiquez ce que vous pensez de l'énoncé suivant, indiquez à quel point vous êtes d'accord ou en désaccord en utilisant cette échelle: 
1-Tout à fait d’accord
2-D'accord
3-Ni d'accord ni en désaccord 
3-En désaccord
4-Tout à fait en désaccord


","Lorsque les emplois sont rares, un homme devrait avoir plus le droit à un emploi qu’une femme","Veuillez répondre à chacune des actions suivantes, si vous pensez que cela peut toujours être justifié, ne peut jamais être justifié, ou quelque chose entre les deux en utilisant cette échelle:
La note 1 signifie jamais justifiable, la note 10 signifie toujours justifiable. Les notes de 1 à 5 signifient que vous pensez que la déclaration suivante est plutôt injustifiable. Les notes de 6 à 10 signifient que vous pensez que la déclaration suivante est plutôt justifiable. Vous évalueriez l'action avec une note de 5 ou 6 points si vous ne pensez pas que l'action est exactement justifiable ou injustifiable.",L’homosexualité,La prostitution,L’avortement,Le divorce,Le sexe avant le mariage,Qu’un homme batte sa femme,Les relations sexuelles occasionnelles
