,idx,lang,1,2,3,-1,-5,-3,-2
0,sq,Albanian,Sektori i punësimit ku punoni është qeveria ose institucioni publik.,Sektori i punësimit në të cilin punoni është biznesi privat ose industria.,Sektori i punësimit në të cilin punoni është organizatë private jofitimprurëse.,,,Nuk mund të thoni asgjë për sektorin tuaj të punësimit ose nuk keni pasur kurrë një punë.,
1,am,Amharic,የሚሰሩበት የሥራ ዘርፍ መንግስት ወይም የህዝብ ተቋም ነው።,የእርስዎ የሥራ ዘርፍ የግል ንግድ ወይም ኢንዱስትሪ ነው።,የእርስዎ የሥራ ዘርፍ የግል ያልተመነሰ ድርጅት ነው።,,,እርስዎ ስለ ሥራ ዘርፎ ምንም ነገር ማለት አትችሉም ወይም ቀደም ሲል ሥራ አልነበራችሁም።,
2,ar,Arabic,قطاع العمل الذي تعمل فيه هو الحكومة أو مؤسسة عامة.,قطاع العمل الذي تعمل فيه هو الأعمال أو الصناعة الخاصة.,قطاع العمل الذي تعمل فيه هو منظمة غير ربحية خاصة.,,,لا يمكنك الإفصاح عن أي شيء يتعلق بقطاع عملك أو أنك لم تعمل من قبل.,
3,hy,Armenian (Hayeren),Ձեր աշխատանքի ոլորտը կառավարություն կամ հանրային հաստատություն է։,Ձեր զբաղվածության ոլորտը մասնավոր բիզնես կամ արդյունաբերություն է։,Ձեր աշխատանքի ոլորտը մասնավոր ոչ առևտրային կազմակերպություն է։,,,Դուք չեք կարող ասել ոչինչ ձեր աշխատանքի ոլորտի մասին կամ դուք երբեք աշխատանք չեք ունեցել։,
4,az,Azerbaijani (Azeri),Sizin çalışdığınız məşğulluq sektoru hökumət və ya dövlət müəssisəsidir.,Sizin çalışdığınız məşğulluq sektoru özəl biznes və ya sənayedir.,Sizin işlədiyiniz məşğulluq sektoru özəl qeyri-kommersiya təşkilatıdır.,,,Siz öz iş sektorunuz haqqında heç nə deyə bilməzsiniz və ya heç vaxt işiniz olmayıb.,
5,eu,Basque,Zure lan-sektorea gobernua edo erakunde publikoa da.,Zure lan-sektorea enpresa pribatu edo industria da.,Zure lan-sektorea irabazi-asmorik gabeko erakunde pribatua da.,,,Zure enplegu-sektoreari buruz ezer ezin duzu esan edo inoiz ez duzu lanik izan.,
6,bn,Bengali (Bangla),আপনি যে কর্মসংস্থানের ক্ষেত্রে কাজ করেন তা সরকারী বা জনসাধারণের প্রতিষ্ঠান।,আপনি যে কর্মসংস্থানের ক্ষেত্রে কাজ করেন তা হলো ব্যক্তিগত ব্যবসা বা শিল্প।,আপনি যে কর্মসংস্থানের ক্ষেত্রে কাজ করেন তা হল বেসরকারি অলাভজনক সংস্থা।,,,আপনি আপনার কর্মসংস্থানের ক্ষেত্র সম্পর্কে কিছু বলতে পারবেন না অথবা আপনার কখনও কোনো চাকরি ছিল না।,
7,bik,Bikol (Bicolano),Ang sektor nin trabaho mo iyo an gobyerno o pampublikong institusyon.,Ang sektor nin trabaho mo iyo an pribadong negosyo o industriya.,Ang sektor nin trabaho mo iyo an pribadong non-profit na organisasyon.,,,Dai ka puwedeng magsabi nin anuman manungod sa saimong sektor nin trabaho o dai ka pa nagkaigwa nin trabaho.,
8,bs,Bosnian,Sektor zaposlenja u kojem radite je vlada ili javna institucija.,Sektor zaposlenja u kojem radite je privatni biznis ili industrija.,Sektor zaposlenja u kojem radite je privatna neprofitna organizacija.,,,Ne možete reći ništa o svom sektoru zaposlenja ili nikada niste imali posao.,
9,bg,Bulgarian,"Секторът на заетостта, в който работите, е правителствен или обществен институт.","Секторът на заетостта, в който работите, е частен бизнес или индустрия.","Секторът на заетостта, в който работите, е частна неправителствена организация.",,,"Не можете да кажете нищо за сектора, в който работите, или никога не сте имали работа.",
