,idx,lang,0,-1,-5,-4,-2
0,sq,Albanian,Numri i fëmijëve që keni,,,,
1,am,Amharic,እርስዎ ያላቸው ልጆች ብዛት,,,,
2,ar,Arabic,عدد الأطفال لديك,,,,
3,hy,Armenian (Hayeren),Ձեր ունեցած երեխաների քանակը,,,,
4,az,Azerbaijani (Azeri),Sahib olduğunuz uşaqların sayı,,,,
5,eu,Basque,Zure seme-alaben kopurua,,,,
6,bn,Bengali (Bangla),আপনার কতজন সন্তান আছে,,,,
7,bik,Bikol (Bicolano),An bilang nin mga aki na igwa ka,,,,
8,bs,Bosnian,Broj djece koju imate,,,,
9,bg,Bulgarian,"Броят на децата, които имате.",,,,
10,my,Burmese,သင့်မှာရှိတဲ့ကလေးအရေအတွက်,,,,
11,ca,Catalan (Valencian),El nombre de fills que tens,,,,
12,ceb,"Cebuano (Bisaya, Binisaya)",Ang gidaghanon sa mga bata nga imong gipanganak,,,,
13,hr,Croatian,Broj djece koju imate,,,,
14,cs,Czech,"Počet dětí, které máte",,,,
15,da,Danish,Antallet af børn du har,,,,
16,nl,Dutch (Flemish),Het aantal kinderen dat je hebt,,,,
17,en,English,The number of children you have,,,,
18,es,Spanish (Castilian),El número de hijos que tienes,,,,
19,et,Estonian,Teie laste arv,,,,
20,fil,Filipino (Pilipino),Ang bilang ng mga anak na mayroon ka,,,,
21,fi,Finnish,"Lasten lukumäärä, joka sinulla on",,,,
22,fr,French,Le nombre d'enfants que vous avez,,,,
23,gl,Galician,O número de fillos que tes,,,,
24,ka,Georgian,თქვენი შვილების რაოდენობა,,,,
25,de,German,"Die Anzahl der Kinder, die Sie haben",,,,
26,el,"Greek, Modern",Ο αριθμός των παιδιών που έχετε,,,,
27,ha,Hausa,Yawan yaron da kake da shi.,,,,
28,hil,Hiligaynon (Ilonggo),"""Ang kadamuon sang imo kabataan""",,,,
29,hi,Hindi,आपके बच्चों की संख्या,,,,
30,hu,Hungarian,A gyermekeid száma,,,,
31,is,Icelandic,Fjöldi barna sem þú átt,,,,
32,ig,Igbo,Ọnụ ọgụgụ ụmụaka ị nwere,,,,
33,ilo,"Ilocano (Ilokano, Iloko)",Ti bilang dagiti annak a daka.,,,,
34,id,Indonesian,Jumlah anak yang Anda miliki,,,,
35,it,Italian,Il numero di figli che hai,,,,
36,ja,Japanese,あなたの子供の数,,,,
37,kk,Kazakh,Сізде қанша бала бар,,,,
38,ky,Kirghiz (Kyrgyz),Сизде канча бала бар,,,,
39,zh,Chinese,您有多少个孩子,,,,
40,ko,Korean,자녀 수,,,,
41,lt,Macedonian,Бројот на деца што ги имате,,,,
42,mk,Malay (Malaysian),Bilangan anak yang anda ada,,,,
43,ms,"Standart Chinese (Mandarin, Putonghua, Guoyu)",您有多少个孩子,,,,
44,mn,Mongolian,Таны хүүхдийн тоо,,,,
45,cnr,Montenegrin,Broj djece koju imate,,,,
46,nd,North Ndebele,Inani labantwana olabo,,,,
47,no,Norwegian,Antall barn du har,,,,
48,om,Oromo,Lakkofsa daa'immanii kee qabdu.,,,,
49,fa,"Persian (Farsi, Dari)",تعداد فرزندان شما چند نفر است؟,,,,
50,pl,Polish,Liczba posiadanych dzieci,,,,
51,pt,Portuguese,O número de filhos que você tem,,,,
52,ro,"Romanian (Moldavian, Moldovan)",Numărul de copii pe care îi aveți,,,,
53,ru,Russian,Количество ваших детей,,,,
54,sr,Serbian,Broj dece koju imate,,,,
55,sn,Shona,Huwandu hwevana vaunavo,,,,
56,sk,Slovak,"Počet detí, ktoré máte",,,,
57,sl,Slovenian,"Število otrok, ki jih imate",,,,
58,sw,Swahili,Idadi ya watoto ulionao,,,,
59,sv,Swedish,Antalet barn du har,,,,
60,tg,Tajik,"Шумораи фарзандоне, ки шумо доред",,,,
61,tsg,Tausug,"In Tausug, ""The number of children you have"" can be translated as ""In pila ka anak mu"".",,,,
62,th,Thai (Central Thai),จำนวนบุตรที่คุณมี,,,,
63,tig,Tigre,The number of children you have can be translated to Tigre as: ነቲ ቁመ ኣደልዎ ኣለኩም ዝኾነ።,,,,
64,uk,Ukrainian,Кількість ваших дітей,,,,
65,tr,Turkish,Sahip olduğunuz çocuk sayısı,,,,
66,ur,Urdu,آپ کے بچوں کی تعداد,,,,
67,uz,Uzbek,Sizda nechta bola borligi,,,,
68,vi,Vietnamese,Số lượng con cái bạn có,,,,
69,war,Waray,An numero han imo mga anak.,,,,
70,yo,Yoruba,Nọmba awọn ọmọ ti o ni,,,,
