,idx,lang,1,2,3,4,5,6,-1,-5,-2
0,sq,Albanian,Statusi juaj aktual martesor është i martuar.,Statusi juaj aktual martesor është duke jetuar së bashku si të martuar.,Statusi juaj aktual martesor është i divorcuar.,Statusi juaj aktual martesor është i ndarë.,Statusi juaj aktual martesor është i ve.,Statusi juaj aktual martesor është beqar.,,,
1,am,Amharic,የእርስዎ ወቅታዊ የጋብቻ ሁኔታ ያገባ/ያገባች ነው።,የእርስዎ ወቅታዊ የጋብቻ ሁኔታ እንደ ተጋብቷችሁ በአንድነት መኖር ነው።,የእርስዎ ወቅታዊ የጋብቻ ሁኔታ ዝቅተኛ ነው።,የእርስዎ ወቅታዊ የጋብቻ ሁኔታ ተለያይቷል።,የእርስዎ ወቅታዊ የጋብቻ ሁኔታ መበለት ነው።,የአሁኑ የጋብቻ ሁኔታዎ ያላገባ ነው።,,,
2,ar,Arabic,وضعك الاجتماعي الحالي هو متزوج.,وضعك الاجتماعي الحالي هو العيش معًا كمتزوجين.,وضعك الاجتماعي الحالي هو مطلق.,وضعك الزوجي الحالي هو منفصل.,وضعك الاجتماعي الحالي هو أرمل.,وضعك الاجتماعي الحالي هو أعزب.,,,
3,hy,Armenian (Hayeren),Ձեր ներկայիս ամուսնական կարգավիճակը ամուսնացած է։,Ձեր ներկայիս ամուսնական կարգավիճակը համատեղ ապրում է որպես ամուսնացած։,Ձեր ներկայիս ամուսնական կարգավիճակը բաժանված է։,Ձեր ներկայիս ամուսնական կարգավիճակը բաժանված է։,Ձեր ներկայիս ամուսնական կարգավիճակը՝ այրի:,Ձեր ներկայիս ամուսնական կարգավիճակը ամուսնացած չէ։,,,
4,az,Azerbaijani (Azeri),Hazırkı ailə vəziyyətiniz evlidir.,Sizin hazırkı ailə vəziyyətiniz evli kimi birlikdə yaşamaqdır.,Hazırkı ailə vəziyyətiniz boşanmışdır.,Hazırkı ailə vəziyyətiniz ayrılmışdır.,Hazırkı ailə vəziyyətiniz duldur.,Hazırkı ailə vəziyyətiniz subaydır.,,,
5,eu,Basque,Zure ezkontza-egoera gaur egun ezkonduta dago.,Zure ezkontza-egoera gaur egun ezkonduta bizi izatea da.,Zure ezkontza-egoera gaur egun dibortziatua da.,Zure ezkontza-egoera oraingoa bananduta dago.,Zure ezkontza-egoera gaur egun alarguna da.,Zure ezkontza-egoera gaur egun ezkongabea da.,,,
6,bn,Bengali (Bangla),আপনার বর্তমান বৈবাহিক অবস্থা বিবাহিত।,আপনার বর্তমান বৈবাহিক অবস্থা হল বিবাহিত হিসেবে একসাথে বসবাস করা।,আপনার বর্তমান বৈবাহিক অবস্থা তালাকপ্রাপ্ত।,আপনার বর্তমান বৈবাহিক অবস্থা আলাদা।,আপনার বর্তমান বৈবাহিক অবস্থা বিধবা।,আপনার বর্তমান বৈবাহিক অবস্থা অবিবাহিত।,,,
7,bik,Bikol (Bicolano),An saimong kasalukuyang estado nin pagkamoot iyo an kasal.,An saimong kasalukuyang estado nin pag-aasawa iyo an pag-omaw na sinda kasal.,An saimong kasalukuyang estado nin pagkamoot iyo an diborsyado.,An saimong kasalukuyang estado nin pagkamateon iyo an nagbulag.,An saimong kasalukuyang estado nin pag-aasawa iyo an biyudo/biyuda.,An saimong kasalukuyang estado nin pag-aasawa iyo an pagiging soltero/soltera.,,,
8,bs,Bosnian,Vaš trenutni bračni status je oženjen/udata.,Vaš trenutni bračni status je zajednički život kao u braku.,Vaš trenutni bračni status je razveden.,Vaš trenutni bračni status je razdvojen.,Vaš trenutni bračni status je udovac/udovica.,Vaš trenutni bračni status je slobodan.,,,
9,bg,Bulgarian,Вашият настоящ семеен статус е женен/омъжена.,Вашият настоящ семеен статус е съжителство като женени.,Вашият настоящ семеен статус е разведен.,Вашият настоящ семеен статус е разделен.,Вашият настоящ семеен статус е вдовец/вдовица.,Вашето текущо семейно положение е неженен/неомъжена.,,,
10,my,Burmese,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ အိမ်ထောင်ရှိသည် ဖြစ်ပါသည်။,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ အိမ်ထောင်ကျပြီးအတူနေထိုင်ခြင်းဖြစ်သည်။,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ ကွာရှင်းပြီးဖြစ်ပါတယ်။,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ ခွဲခွာနေသည်ဖြစ်သည်။,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ မုဆိုးဖြစ်ပါသည်။,သင့်လက်ရှိအိမ်ထောင်ရေးအခြေအနေမှာ တစ်ဦးတည်းဖြစ်ပါသည်။,,,
