,idx,lang,0,1,2,3,4,5,6,7,8,9,10,11,-1,-5,-3,-2
0,sq,Albanian,Asnjëherë nuk ke pasur një punë.,"Grupi juaj profesional është profesional dhe teknik (për shembull: mjek, mësues, inxhinier, artist, kontabilist, infermier).","Grupi juaj profesional është administrativ i lartë (për shembull: bankier, ekzekutiv në biznes të madh, zyrtar i lartë qeveritar, zyrtar sindikal).","Grupi juaj profesional është administrativ (për shembull: sekretar, nëpunës, menaxher zyre, nëpunës civil, kontabilist).","Grupi juaj profesional është shitjet (për shembull: menaxher shitjesh, pronar dyqani, asistent dyqani, agjent sigurimesh, blerës).","Grupi juaj profesional është shërbimi (për shembull: pronar restoranti, oficer policie, kameriere, berber, kujdestar).","Grupi juaj profesional është punëtor i kualifikuar (për shembull: kryemjeshtër, mekanik motorësh, shtypshkronjës, rrobaqepëse, prodhues veglash dhe kallëpesh, elektricist).","Grupi juaj profesional është punëtor gjysmë i kualifikuar (për shembull: murator, shofer autobusi, punëtor në fabrikë konservash, marangoz, punëtor llamarine, bukëpjekës).","Grupi juaj profesional është punëtor i pakualifikuar (për shembull: punëtor, hamall, punëtor i pakualifikuar në fabrikë, pastrues).","Grupi juaj profesional është punëtor ferme (për shembull: punëtor ferme, shofer traktori).",Grupi juaj profesional është pronar ferme ose menaxher ferme.,,,,,
1,am,Amharic,አንተ ሥራ ተቀብየህ አልነበርህም።,የእርስዎ ሙያዊ ቡድን ሙያዊ እና ቴክኒካል ነው (ለምሳሌ፡ ዶክተር፣ አስተማሪ፣ መሃንዲስ፣ አርቲስት፣ ባለሙያ ባለሁለት እና ነርስ).,የእርስዎ የሥራ ቡድን ከፍተኛ አስተዳደር ነው (ለምሳሌ፡ ባንከር፣ በትልቅ ንግድ ውስጥ ሥራ አስኪያጅ፣ ከፍተኛ የመንግሥት ኃላፊ፣ የማህበረሰብ ድርጅት ኃላፊ)።,የእርስዎ የሥራ ቡድን የጽሕፈት ነው (ለምሳሌ፡ ጸሐፊ፣ ክለርክ፣ የቢሮ አስተዳዳሪ፣ የመንግሥት ሠራተኛ፣ የመዝገብ ተቀባይ)።,የእርስዎ ሥራ ቡድን ሽያጭ ነው (ለምሳሌ፡ የሽያጭ አስተዳደር፣ የሱቅ ባለቤት፣ የሱቅ ረዳት፣ የኢንሹራንስ ወኪል፣ ገዢ)።,የእርስዎ ሥራ ቡድን አገልግሎት ነው (ለምሳሌ፡ የሬስቶራን ባለቤት፣ ፖሊስ መኮንን፣ አሳላፊ፣ ባርበር፣ እንክብካቤ ባለሙያ)።,የእርስዎ ሙያዊ ቡድን ተሞክሮ ያለው ሰራተኛ ነው (ለምሳሌ፡ አለቃ፣ የሞተር መካኒክ፣ አታሚ፣ ቀፃሪ፣ የመሣሪያ እና ዲይ አዋቂ፣ ኤሌክትሪከኛ)።,የእርስዎ ሙያዊ ቡድን እንደ ተለምዶ የተማሩ ሰራተኞች ነው (ለምሳሌ፡ ጭቃ ሠሪ፣ አውቶቡስ አሽከርካሪ፣ በቆሎ ሠሪ፣ ካርፕንተር፣ የቅርፀብረት ሠሪ፣ እንጀራ ባኬር)።,የእርስዎ ሙያዊ ቡድን ያልተማሩ ሰራተኞች ነው (ለምሳሌ፡ ላቦራተር፣ ቆርቆሮ፣ ያልተማሩ የፋብሪካ ሰራተኛ፣ አጽዳቂ እና እንደዚህ ዓይነት ሰዎች)።,የእርሻ ሰራተኛ (ለምሳሌ፡ የእርሻ ሰራተኛ፣ የተሽከርካሪ አሽከር) የሆኑ የሥራ ቡድንዎ ነው።,የእርሻ ባለቤት ወይም የእርሻ አስተዳዳሪ የሆኑ የሥራ ቡድንዎ ነው።,,,,,
2,ar,Arabic,لم يكن لديك وظيفة أبدًا.,مجموعة وظيفتك هي مهنية وتقنية (على سبيل المثال: طبيب، معلم، مهندس، فنان، محاسب، ممرض).,مجموعة وظيفتك هي الإدارة العليا (على سبيل المثال: مصرفي، مدير تنفيذي في شركة كبيرة، مسؤول حكومي رفيع، مسؤول نقابي).,مجموعة وظيفتك هي الأعمال المكتبية (على سبيل المثال: سكرتير، كاتب، مدير مكتب، موظف حكومي، محاسب).,مجموعة مهنتك هي المبيعات (على سبيل المثال: مدير مبيعات، صاحب متجر، مساعد متجر، وكيل تأمين، مشتري).,مجموعة مهنتك هي الخدمة (على سبيل المثال: مالك مطعم، ضابط شرطة، نادلة، حلاق، مقدم رعاية).,مجموعة مهنتك هي عامل ماهر (على سبيل المثال: مشرف، ميكانيكي سيارات، طابع، خياطة، صانع أدوات وقوالب، كهربائي).,مجموعة وظيفتك هي عامل شبه ماهر (على سبيل المثال: عامل بناء، سائق حافلة، عامل في مصنع تعليب، نجار، عامل صفائح معدنية، خباز).,مجموعتك المهنية هي عامل غير ماهر (على سبيل المثال: عامل، حمّال، عامل مصنع غير ماهر، منظف).,مجموعتك المهنية هي عامل زراعي (على سبيل المثال: عامل مزرعة، سائق جرار).,مجموعة مهنتك هي مالك مزرعة أو مدير مزرعة.,,,,,
3,hy,Armenian (Hayeren),Դու երբեք աշխատանք չես ունեցել։,"Ձեր մասնագիտական խումբը մասնագիտական և տեխնիկական է (օրինակ՝ բժիշկ, ուսուցիչ, ինժեներ, նկարիչ, հաշվապահ, բուժքույր):","Ձեր մասնագիտական խումբը բարձր ադմինիստրատիվ է (օրինակ՝ բանկիր, խոշոր բիզնեսի ղեկավար, բարձր պետական պաշտոնյա, արհմիության պաշտոնյա):","Ձեր մասնագիտական խումբը գրասենյակային է (օրինակ՝ քարտուղար, գրագիր, գրասենյակի ղեկավար, պետական ծառայող, հաշվապահ):","Ձեր մասնագիտական խումբը վաճառքն է (օրինակ՝ վաճառքի մենեջեր, խանութի սեփականատեր, խանութի օգնական, ապահովագրական գործակալ, գնորդ):","Ձեր մասնագիտական խումբը ծառայություն է (օրինակ՝ ռեստորանի սեփականատեր, ոստիկան, մատուցողուհի, վարսավիր, խնամակալ):","Ձեր մասնագիտական խումբը հմուտ աշխատող է (օրինակ՝ վարպետ, ավտոմեխանիկ, տպագրիչ, կարուհի, գործիքների և կաղապարների պատրաստող, էլեկտրիկ):","Ձեր մասնագիտական խումբը կիսահմուտ աշխատող է (օրինակ՝ աղյուսագործ, ավտոբուսի վարորդ, պահածոների գործարանի աշխատող, ատաղձագործ, թիթեղագործ, հացթուխ):","Ձեր մասնագիտական խումբը անորակ աշխատող է (օրինակ՝ բանվոր, բեռնակիր, անորակ գործարանի աշխատող, մաքրող):","Ձեր մասնագիտական խումբը գյուղատնտեսական աշխատող է (օրինակ՝ ֆերմայի բանվոր, տրակտորի վարորդ):",Ձեր մասնագիտական խումբը ֆերմայի սեփականատեր կամ ֆերմայի կառավարիչ է։,,,,,
4,az,Azerbaijani (Azeri),Sənin heç vaxt işin olmayıb.,"Sizin peşə qrupunuz peşəkar və texniki sahəyə aiddir (məsələn: həkim, müəllim, mühəndis, rəssam, mühasib, tibb bacısı).","Sizin peşə qrupunuz yüksək inzibati sahəyə aiddir (məsələn: bankir, böyük biznesdə icraçı, yüksək dövlət məmuru, həmkarlar ittifaqı rəsmisi).","Sizin peşə qrupunuz inzibati işlərdir (məsələn: katib, katibə, ofis meneceri, dövlət qulluqçusu, mühasib).","Sizin peşə qrupunuz satışdır (məsələn: satış meneceri, mağaza sahibi, mağaza köməkçisi, sığorta agenti, alıcı).","Sizin peşə qrupunuz xidmət sahəsidir (məsələn: restoran sahibi, polis əməkdaşı, ofisiant, bərbər, baxıcı).","Sizin peşə qrupunuz ixtisaslı işçidir (məsələn: usta, motor mexaniki, çapçı, dərzi, alət və qəlib ustası, elektrikçi).","Sizin peşə qrupunuz yarım ixtisaslı işçidir (məsələn: kərpic ustası, avtobus sürücüsü, konserv zavodu işçisi, dülgər, sac ustası, çörəkçi).","Sizin peşə qrupunuz ixtisassız işçidir (məsələn: fəhlə, yükdaşıyan, ixtisassız zavod işçisi, təmizlikçi).","Sizin peşə qrupunuz kənd təsərrüfatı işçisidir (məsələn: təsərrüfat fəhləsi, traktor sürücüsü).",Sizin peşə qrupunuz təsərrüfat sahibi və ya təsərrüfat meneceridir.,,,,,
5,eu,Basque,Inoiz ez duzu lanik izan.,"Zure lanbide-taldea profesionala eta teknikoa da (adibidez: medikua, irakaslea, ingeniaria, artista, kontularia, erizaina).","Zure lanbide-taldea goi-mailako administratiboa da (adibidez: bankaria, enpresa handiko exekutiboa, gobernuko goi-karguduna, sindikatuko arduraduna).","Zure lanbide-taldea administrazio-lanak dira (adibidez: idazkari, administrari, bulegoko arduradun, funtzionario, kontulari).","Zure lanbide-taldea salmentak dira (adibidez: salmenta-kudeatzailea, dendaren jabea, dendako laguntzailea, aseguru-agentea, eroslea).","Zure lanbide-taldea zerbitzua da (adibidez: jatetxe-jabea, polizia, zerbitzaria, ile-apaintzailea, zaintzailea).","Zure lanbide-taldea langile kualifikatua da (adibidez: maisua, motor mekanikaria, inprimatzailea, jostuna, tresna eta molde egilea, elektrizista).","Zure lanbide-taldea erdi-trebatutako langilea da (adibidez: igeltseroa, autobus gidaria, kontserba-langilea, arotza, xafla-langilea, okina).","Zure lanbide-taldea trebetasunik gabeko langilea da (adibidez: langilea, zamalaria, trebetasunik gabeko fabrikako langilea, garbitzailea).","Zure lanbide-taldea nekazari langilea da (adibidez: nekazari langilea, traktore gidaria).",Zure lanbide-taldea baserri-jabea edo baserri-kudeatzailea da.,,,,,
6,bn,Bengali (Bangla),তোমার কখনো কোনো চাকরি ছিল না।,"আপনার পেশাগত গোষ্ঠী হল পেশাদার এবং প্রযুক্তিগত (যেমন: ডাক্তার, শিক্ষক, প্রকৌশলী, শিল্পী, হিসাবরক্ষক, নার্স)।","আপনার পেশাগত গোষ্ঠী উচ্চ প্রশাসনিক (যেমন: ব্যাংকার, বড় ব্যবসায় নির্বাহী, উচ্চ সরকারি কর্মকর্তা, ইউনিয়ন কর্মকর্তা)।","আপনার পেশাগত গোষ্ঠী হল প্রশাসনিক (যেমন: সেক্রেটারি, ক্লার্ক, অফিস ম্যানেজার, সরকারি কর্মচারী, হিসাবরক্ষক)।","আপনার পেশাগত গোষ্ঠী বিক্রয় (যেমন: বিক্রয় ব্যবস্থাপক, দোকান মালিক, দোকান সহকারী, বীমা এজেন্ট, ক্রেতা)।","আপনার পেশাগত গোষ্ঠী হল সেবা (যেমন: রেস্তোরাঁর মালিক, পুলিশ কর্মকর্তা, ওয়েট্রেস, নাপিত, তত্ত্বাবধায়ক)।","আপনার পেশাগত গোষ্ঠী হলো দক্ষ কর্মী (যেমন: ফোরম্যান, মোটর মেকানিক, প্রিন্টার, সেলাই কর্মী, টুল এবং ডাই নির্মাতা, ইলেকট্রিশিয়ান)।","আপনার পেশাগত গোষ্ঠী অর্ধ-কুশলী কর্মী (যেমন: রাজমিস্ত্রি, বাস চালক, ক্যানারি কর্মী, কাঠমিস্ত্রি, শীট মেটাল কর্মী, বেকার)।","আপনার পেশাগত গোষ্ঠী অদক্ষ কর্মী (যেমন: শ্রমিক, কুলি, অদক্ষ কারখানার কর্মী, পরিচ্ছন্নতাকর্মী)।","আপনার পেশাগত গোষ্ঠী হল কৃষি শ্রমিক (যেমন: খামারের শ্রমিক, ট্রাক্টর চালক)।",আপনার পেশাগত গোষ্ঠী হল কৃষি জমির মালিক বা খামার ব্যবস্থাপক।,,,,,
7,bik,Bikol (Bicolano),Dai ka pa nagkaigwa nin trabaho.,"An saimong okupasyonal na grupo iyo an propesyonal asin teknikal (halimbawa: doktor, maestro, inhinyero, artista, akawntante, nars).","An saimong okupasyonal na grupo iyo an hoben na administratibo (halimbawa: banker, ehekutibo sa dakulang negosyo, hararom na opisyal sa gobyerno, opisyal kan unyon).","An saimong trabaho na grupo iyo an clerical (halimbawa: sekretarya, klerk, manedyer sa opisina, empleyado sa gobyerno, tagapagtala).","An saimong trabaho na grupo iyo an pagbaligya (halimbawa: sales manager, tag-iya nin tindahan, asistente sa tindahan, ahente nin seguro, parakompra).","An saimong okupasyonal na grupo iyo an serbisyo (halimbawa: tag-iya nin restoran, opisyal nin pulis, serbidora, barbero, tagatiman).","An saimong grupo sa trabaho iyo an mga may kasanayan na paratrabaho (halimbawa: kapatas, mekaniko nin motor, paratukdo, mananahi, parahimo nin gamit asin molde, elektrisyan).","An saimong trabaho na grupo iyo an semi-skilled na trabahador (halimbawa: panday, drayber nin bus, trabahador sa pabrika nin pagkaon, karpintero, trabahador sa lata nin metal, parahimo nin tinapay).","An saimong trabaho iyo an dai kasanayan na paratrabaho (halimbawa: trabahador, kargador, trabahador sa pabrika na dai kasanayan, parahugas).","An saimong trabaho iyo an paratarabaho sa uma (halimbawa: paratarabaho sa uma, drayber nin traktora).",An saimong okupasyon na grupo iyo an parataram kan uma o tagapamahala kan uma.,,,,,
8,bs,Bosnian,Nikada nisi imao/la posao.,"Vaša profesionalna grupa je stručna i tehnička (na primjer: doktor, učitelj, inženjer, umjetnik, računovođa, medicinska sestra).","Vaša profesionalna grupa je viša administracija (na primjer: bankar, izvršni direktor u velikom preduzeću, visoki državni službenik, sindikalni zvaničnik).","Vaša profesionalna grupa je administrativna (na primjer: sekretar, službenik, upravnik kancelarije, državni službenik, knjigovođa).","Vaša profesionalna grupa je prodaja (na primjer: menadžer prodaje, vlasnik prodavnice, prodajni asistent, osiguravajući agent, kupac).","Vaša profesionalna grupa je uslužna djelatnost (na primjer: vlasnik restorana, policajac, konobarica, frizer, njegovatelj).","Vaša profesionalna grupa je kvalifikovani radnik (na primjer: poslovođa, automehaničar, štampar, krojačica, alatničar, električar).","Vaša zanimanja spadaju u grupu polukvalifikovanih radnika (na primjer: zidar, vozač autobusa, radnik u konzervi, stolar, limar, pekar).","Vaša profesionalna grupa je nekvalifikovani radnik (na primjer: radnik, nosač, nekvalifikovani fabrički radnik, čistač).","Vaša zanimanja grupa je poljoprivredni radnik (na primjer: poljoprivredni radnik, vozač traktora).",Vaša profesionalna grupa je vlasnik farme ili upravitelj farme.,,,,,
9,bg,Bulgarian,Никога не си имал работа.,"Вашата професионална група е професионална и техническа (например: лекар, учител, инженер, художник, счетоводител, медицинска сестра).","Вашата професионална група е висша административна (например: банкер, изпълнителен директор в голям бизнес, високопоставен държавен служител, служител на синдикат).","Вашата професионална група е административна (например: секретар, чиновник, офис мениджър, държавен служител, счетоводител).","Вашата професионална група е продажби (например: мениджър продажби, собственик на магазин, продавач-консултант, застрахователен агент, купувач).","Вашата професионална група е услуги (например: собственик на ресторант, полицай, сервитьорка, фризьор, гледач).","Вашата професионална група е квалифициран работник (например: бригадир, автомеханик, печатар, шивачка, инструменталчик, електротехник).","Вашата професионална група е полуквалифициран работник (например: зидар, шофьор на автобус, работник в консервна фабрика, дърводелец, работник с ламарина, пекар).","Вашата професионална група е неквалифициран работник (например: общ работник, носач, неквалифициран фабричен работник, чистач).","Вашата професионална група е земеделски работник (например: селскостопански работник, тракторист).",Вашата професионална група е собственик на ферма или управител на ферма.,,,,,
