idx,lang,30,40,100,140,170,200,230,245,250,290,310,350,370,410,460,490,500,520,550,610,630,680,710,720,740,790,810,820,850,860,890,910,950,1030,1040,1100,1240,1260,1270,1290,1360,1400,1490,1530,1540,1580,1600,1610,1670,1695,1700,1730,1740,1770,1850,1880,1890,1930,1980,1990,2000,2020,2030,2100,2103,2120,2126,2170,2180,2210,2220,2230,2270,2280,2310,2316,2390,2420,2480,2500,2530,2560,2657,2670,2720,2740,2760,2790,2810,2820,2840,2870,2920,2930,2940,2969,2981,2987,3020,3030,3100,3200,3234,3390,3420,3490,3510,3520,3530,3540,3550,3570,3580,3600,3610,3630,3670,3720,3780,3810,3830,3840,3860,3870,3890,3920,3992,4040,4060,4075,4110,4130,4150,4160,4190,4200,4210,4220,4230,4260,4280,4295,4310,4360,4365,4370,4380,4400,4410,4420,4430,4450,4460,4470,4520,4580,4610,4620
sq,Albanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
am,Amharic,እርስዎ በቤት ውስጥ አፋርኛ ትናገራለህ።,,,አንተ በቤት ውስጥ አማርኛ ቋንቋ ትናገራለህ።,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,እርስዎ በቤት ውስጥ ኦሮሞኛ ቋንቋ ትናገራለህ።,,,,,,,,,,,,,,,,,,እርስዎ በቤት ውስጥ ሲዳሞ ቋንቋ ትናገራለህ።,,,,እርስዎ በቤት ውስጥ ሶማሊኛ ቋንቋ ትናገራለህ።,,,,,,,,,,,,,,እርስዎ በቤት ውስጥ ትግርኛ ቋንቋ ትናገራለህ።,,,,,,,,,,,,,,,,,,
ar,Arabic,,,,,أنت تتحدث اللغة العربية في المنزل.,أنت تتحدث اللغة الأرمينية في المنزل.,أنت تتحدث اللغة الآرامية الآشورية الحديثة في المنزل.,,,,,,,,,,أنت تتحدث اللغة الأمازيغية في المنزل.,,,,,,,,,,,,,,,,,,,,أنت تتحدث اللغة الإنجليزية في المنزل.,,,,,أنت تتحدث اللغة الفرنسية في المنزل.,,أنت تتحدث اللغة الألمانية في المنزل.,,,,,,تتحدث الحسانية، لغة كليم البيضان في المنزل.,,,,,,,,,,,,,,,,,,,,,,,,,,,,أنت تتحدث اللغة الكردية في المنزل.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,أنت تتحدث اللهجة التونسية في المنزل.,,,أنت تتحدث اللغة التركمانية في المنزل.,,,,,,,,,,,
hy,Armenian (Hayeren),,,,,,Դուք տանը հայերեն եք խոսում։,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Դուք տանը խոսում եք ռուսերեն։,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
az,Azerbaijani (Azeri),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu,Basque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn,Bengali (Bangla),,,,,,,,,,,,,,,,আপনি বাড়িতে বাংলা ভাষায় কথা বলেন।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bik,Bikol (Bicolano),,,,,,,,,,,,,,,,,,,Nagsasabi ka nin tataramon na Bikol sa harong.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bs,Bosnian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg,Bulgarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
