,idx,lang,ans
0,sq,Albanian,"Si përgjigje, duhet të jepni një varg numrash, të cilat janë vlerat sipas shkallëve të propozuara për çdo pyetje përkatësisht.
Shkruaj çdo numër në një rresht të ri."
1,am,Amharic,"እንደ ምላሽ ቁጥሮችን በተከተለው ቅደም ተከል መስጠት አለብህ፣ እነዚህ ቁጥሮች ለእያንዳንዱ ጥያቄ በተሰጡት ማስገዳዳሪዎች እንደ አስተሳሰብ የሚሆኑ ናቸው። 
እያንዳንዱ ቁጥር በአዲስ መስመር ላይ ጻፍ።"
2,ar,Arabic,"كرد على ذلك، يجب أن تقدم سلسلة من الأرقام التي تمثل القيم حسب المقاييس المقترحة لكل سؤال على التوالي.
اكتب كل رقم في سطر جديد."
3,hy,Armenian (Hayeren),"Պատասխանի որպես դու պետք է տրամադրես թվերի հաջորդականություն, որոնք են արժեքները առաջարկված սանդղակների համար յուրաքանչյուր հարցի համար համապատասխանաբար։ 
Ամեն թիվը գրիր նոր տողում։"
4,az,Azerbaijani (Azeri),"Cavab olaraq, hər bir suala uyğun təklif olunan miqyaslara əsasən dəyərlər olan bir sıra rəqəmlər verməlisən. 
Hər rəqəmi yeni sətirdən yazın."
5,eu,Basque,"Erantzun gisa, zenbaki sekuentzia bat eman behar duzu, galdera bakoitzeko eskainitako eskalen balioak direnak. 
Idatzi zenbaki bakoitza lerro berri batean."
6,bn,Bengali (Bangla),"উত্তর হিসেবে আপনাকে একটি সংখ্যা সিকোয়েন্স প্রদান করতে হবে, যা প্রতিটি প্রশ্নের জন্য প্রস্তাবিত স্কেলের মানগুলি। 
প্রতিটি সংখ্যা নতুন লাইনে লিখুন।"
7,bik,Bikol (Bicolano),"Bilang tugon, kaipuhan mong magtao nin kasunod-sunod na mga numero na nagrerepresenta sa mga halaga base sa mga isinumiteng eskala para sa kada hapot. 
Isurat ang kada numero sa bagong linya."
8,bs,Bosnian,"Kao odgovor trebaš dati niz brojeva koji predstavljaju vrijednosti na predloženim skalama za svako pitanje redom. 
Svaki broj piši u novom redu."
9,bg,Bulgarian,"Като отговор трябва да предоставиш поредица от числа, които са стойностите по предложените скали за всеки въпрос съответно.
Всеки номер пиши на нов ред."
